id	target	name	accession	tlen	query	name	accession	qlen				
TPR_14	PF13428.4	44	S_5sp_contig01745	-	180	2.10E-07	31.1	1.1				
TPR_14	PF13428.4	44	S_5sp_contig01745	-	180	2.10E-07	31.1	1.1				
TPR_14	PF13428.4	44	S_5sp_contig01745	-	180	2.10E-07	31.1	1.1				
TPR_14	PF13428.4	44	S_5sp_contig01745	-	180	2.10E-07	31.1	1.1				
TPR_2	PF07719.15	34	S_5sp_contig01745	-	180	8.30E-07	28.5	0				
TPR_2	PF07719.15	34	S_5sp_contig01745	-	180	8.30E-07	28.5	0				
TPR_2	PF07719.15	34	S_5sp_contig01745	-	180	8.30E-07	28.5	0				
TPR_2	PF07719.15	34	S_5sp_contig01745	-	180	8.30E-07	28.5	0				
TPR_12	PF13424.4	77	S_5sp_contig01745	-	180	1.80E-06	28	1.5				
TPR_12	PF13424.4	77	S_5sp_contig01745	-	180	1.80E-06	28	1.5				
TPR_19	PF14559.4	68	S_5sp_contig01745	-	180	0.00011	22.5	0.1				
TPR_19	PF14559.4	68	S_5sp_contig01745	-	180	0.00011	22.5	0.1				
TPR_19	PF14559.4	68	S_5sp_contig01745	-	180	0.00011	22.5	0.1				
Ribosomal_L18	PF17135.2	187	S_5sp_contig01748	-	181	3.40E-10	39.5	0.1				
Ribosomal_L18	PF17135.2	187	S_5sp_contig01748	-	181	0.00026	20.3	0.1				
Glyco_transf_90	PF05686.10	396	S_5sp_contig02515_RC	-	123	2.50E-09	36.4	0.1				
Glyco_transf_90	PF05686.10	396	S_5sp_contig02515_RC	-	123	4.90E-26	91.4	0				
LRR_8	PF13855.4	61	S_5sp_contig02769_RC	-	527	3.70E-12	45.7	10.5				
LRR_8	PF13855.4	61	S_5sp_contig02769_RC	-	527	3.70E-12	45.7	10.5				
LRR_8	PF13855.4	61	S_5sp_contig02769_RC	-	527	3.70E-12	45.7	10.5				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_4	PF12799.5	43	S_5sp_contig02769_RC	-	527	2.20E-05	24.5	14.1				
LRR_1	PF00560.31	23	S_5sp_contig02769_RC	-	527	0.0001	22.1	10.3				
LRR_1	PF00560.31	23	S_5sp_contig02769_RC	-	527	0.0001	22.1	10.3				
LRR_1	PF00560.31	23	S_5sp_contig02769_RC	-	527	0.0001	22.1	10.3				
LRR_1	PF00560.31	23	S_5sp_contig02769_RC	-	527	0.0001	22.1	10.3				
LRR_1	PF00560.31	23	S_5sp_contig02769_RC	-	527	0.0001	22.1	10.3				
RRM_1	PF00076.20	70	S_5sp_contig03758	-	402	3.40E-18	65.1	0	domain)			
NADHdh	PF00146.19	299	S_5sp_contig04151_RC	-	467	5.60E-07	29	3.3				
NADHdh	PF00146.19	299	S_5sp_contig04151_RC	-	467	1.90E-21	76.5	0				
Complex1_49kDa	PF00346.17	271	S_5sp_contig04151_RC	-	467	4.20E-20	71.9	0				
Complex1_49kDa	PF00346.17	271	S_5sp_contig04151_RC	-	467	4.20E-20	71.9	0				
Complex1_49kDa	PF00346.17	271	S_5sp_contig04151_RC	-	466	7.80E-16	57.8	0.3				
Complex1_49kDa	PF00346.17	271	S_5sp_contig04151_RC	-	466	7.80E-16	57.8	0.3				
Complex1_49kDa	PF00346.17	271	S_5sp_contig04151_RC	-	466	7.80E-16	57.8	0.3				
Ribosomal_S15	PF00312.20	81	S_5sp_contig04152_RC	-	811	2.00E-22	79.1	2.7				
Glyco_trans_1_4	PF13692.4	134	S_5sp_contig04310	-	139	1.90E-07	31.4	0				
Ank_4	PF13637.4	55	S_5sp_contig04408	-	93	0.00034	21	0				
Ank_2	PF12796.5	84	S_5sp_contig04408	-	93	0.00061	20.2	0				
IQ	PF00612.25	21	S_5sp_contig04419	-	94	2.50E-11	42.2	6.5				
IQ	PF00612.25	21	S_5sp_contig04419	-	94	2.50E-11	42.2	6.5				
Mlh1_C	PF16413.3	272	S_5sp_contig04421	-	202	3.90E-08	32.8	0.1				
DUF1995	PF09353.8	197	S_5sp_contig04583	-	170	9.60E-07	28.9	0				
Meth_synt_2	PF01717.16	324	S_5sp_contig04677	-	196	5.00E-29	101.5	0				
DnaJ_C	PF01556.16	146	S_5sp_contig04696_RC	-	190	0.00073	19.5	0.1				
DnaJ_C	PF01556.16	146	S_5sp_contig04698_RC	-	189	0.00073	19.5	0.1				
FtsH_ext	PF06480.13	109	S_5sp_contig04822	-	182	1.40E-05	25.2	0.2				
FtsH_ext	PF06480.13	109	S_5sp_contig04822	-	182	1.40E-05	25.2	0.2				
AAA	PF00004.27	132	S_5sp_contig04823	-	369	1.30E-40	138.8	0				
Peptidase_M41	PF01434.16	211	S_5sp_contig04823	-	369	2.50E-62	210.2	0.1				
AAA	PF00004.27	132	S_5sp_contig04826	-	221	9.80E-10	38.8	0				
Peptidase_M41	PF01434.16	211	S_5sp_contig04826	-	221	3.90E-06	26.6	0.1				
AAA	PF00004.27	132	S_5sp_contig04826	-	221	9.10E-06	26	0				
Peptidase_M41	PF01434.16	211	S_5sp_contig04827	-	180	1.70E-47	161.7	0.1				
Peptidase_M41	PF01434.16	211	S_5sp_contig04827	-	180	5.90E-05	22.7	0.1				
Atg8	PF02991.14	104	S_5sp_contig04881	-	144	4.40E-12	46	0.5				
NAM	PF02365.13	82	S_5sp_contig04988	-	108	0.00099	19.8	0				
Cellulose_synt	PF03552.12	722	S_5sp_contig05099	-	266	2.70E-52	178.1	2.8				
Cellulose_synt	PF03552.12	722	S_5sp_contig05099	-	265	3.60E-80	270.3	2				
eRF1_3	PF03465.13	113	S_5sp_contig05117	-	349	8.80E-37	125.9	0.5				
eRF1_2	PF03464.13	133	S_5sp_contig05117	-	349	1.90E-07	31.4	0.1				
RRM_1	PF00076.20	70	S_5sp_contig05297	-	97	1.30E-10	40.8	0.1	domain)			
RRM_5	PF13893.4	125	S_5sp_contig05297	-	97	0.00017	21.1	0	domain)			
Auxin_resp	PF06507.11	83	S_5sp_contig05507	-	240	3.70E-29	100.7	0.1				
B3	PF02362.19	101	S_5sp_contig05507	-	240	2.90E-15	55.8	0.3				
B3	PF02362.19	101	S_5sp_contig05507	-	240	2.90E-15	55.8	0.3				
AUX_IAA	PF02309.14	240	S_5sp_contig05510	-	376	6.40E-08	32.6	0.1				
AUX_IAA	PF02309.14	240	S_5sp_contig05510	-	376	2.60E-06	27.4	0.1				
dDENN	PF03455.17	50	S_5sp_contig05614	-	145	7.70E-05	22.5	0.6				
dDENN	PF03455.17	50	S_5sp_contig05614	-	145	7.70E-05	22.5	0.6				
Pkinase	PF00069.23	264	S_5sp_contig05733	-	109	1.40E-32	112.9	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig05733	-	109	3.70E-15	55.8	0				
Kinase-like	PF14531.4	288	S_5sp_contig05733	-	109	0.00011	21.6	0				
NAF	PF03822.12	54	S_5sp_contig05734	-	160	9.70E-23	80	0				
A_deaminase	PF00962.20	328	S_5sp_contig06012	-	192	3.30E-09	36.4	0.1				
HECT	PF00632.23	307	S_5sp_contig06031	-	268	2.80E-21	76.2	0.1				
HECT	PF00632.23	307	S_5sp_contig06031	-	268	2.80E-21	76.2	0.1				
ProRS-C_1	PF09180.9	69	S_5sp_contig06063	-	151	7.10E-11	42	0.1				
HGTP_anticodon	PF03129.18	94	S_5sp_contig06067	-	360	6.50E-08	32.5	0				
tRNA-synt_2b	PF00587.23	179	S_5sp_contig06067	-	359	0.00067	19.5	0.1	"P,"	S	and	T)
Ribosomal_L1	PF00687.19	205	S_5sp_contig06198_RC	-	238	1.10E-42	146	2.8				
APH	PF01636.21	240	S_5sp_contig06198_RC	-	239	0.00046	20	0.6				
MAM33	PF02330.14	200	S_5sp_contig06383	-	98	6.80E-28	97.9	0.1				
Ribosomal_S8e	PF01201.20	137	S_5sp_contig06441_RC	-	137	4.70E-09	36.4	0				
Ribosomal_S8e	PF01201.20	137	S_5sp_contig06442_RC	-	65	2.20E-08	34.2	0				
Glucan_synthase	PF02364.13	818	S_5sp_contig06683	-	174	3.00E-34	118.2	10.2				
NARP1	PF12569.6	515	S_5sp_contig06840	-	596	1.40E-89	301.3	0				
NARP1	PF12569.6	515	S_5sp_contig06840	-	596	1.40E-89	301.3	0				
NARP1	PF12569.6	515	S_5sp_contig06840	-	595	6.80E-70	236.3	10.8				
NARP1	PF12569.6	515	S_5sp_contig06840	-	595	6.80E-70	236.3	10.8				
NARP1	PF12569.6	515	S_5sp_contig06840	-	595	6.80E-70	236.3	10.8				
TPR_2	PF07719.15	34	S_5sp_contig06840	-	595	2.10E-09	36.6	0.5				
TPR_2	PF07719.15	34	S_5sp_contig06840	-	595	2.10E-09	36.6	0.5				
TPR_2	PF07719.15	34	S_5sp_contig06840	-	595	2.10E-09	36.6	0.5				
TPR_8	PF13181.4	34	S_5sp_contig06840	-	595	8.60E-09	34.8	0.2				
TPR_8	PF13181.4	34	S_5sp_contig06840	-	595	8.60E-09	34.8	0.2				
TPR_8	PF13181.4	34	S_5sp_contig06840	-	595	8.60E-09	34.8	0.2				
TPR_8	PF13181.4	34	S_5sp_contig06840	-	595	8.60E-09	34.8	0.2				
TPR_1	PF00515.26	34	S_5sp_contig06840	-	595	9.20E-09	34.6	0.1				
TPR_1	PF00515.26	34	S_5sp_contig06840	-	595	9.20E-09	34.6	0.1				
TPR_1	PF00515.26	34	S_5sp_contig06840	-	595	9.20E-09	34.6	0.1				
TPR_7	PF13176.4	36	S_5sp_contig06840	-	595	5.90E-08	32.1	1.5				
TPR_7	PF13176.4	36	S_5sp_contig06840	-	595	5.90E-08	32.1	1.5				
TPR_7	PF13176.4	36	S_5sp_contig06840	-	595	5.90E-08	32.1	1.5				
TPR_7	PF13176.4	36	S_5sp_contig06840	-	595	5.90E-08	32.1	1.5				
TPR_14	PF13428.4	44	S_5sp_contig06840	-	595	1.20E-07	31.8	0				
TPR_14	PF13428.4	44	S_5sp_contig06840	-	595	1.20E-07	31.8	0				
TPR_14	PF13428.4	44	S_5sp_contig06840	-	595	1.20E-07	31.8	0				
TPR_14	PF13428.4	44	S_5sp_contig06840	-	595	1.20E-07	31.8	0				
TPR_11	PF13414.4	42	S_5sp_contig06840	-	595	1.70E-07	30.6	0.2				
TPR_11	PF13414.4	42	S_5sp_contig06840	-	595	1.70E-07	30.6	0.2				
TPR_19	PF14559.4	68	S_5sp_contig06840	-	595	1.40E-06	28.5	0.3				
TPR_19	PF14559.4	68	S_5sp_contig06840	-	595	1.40E-06	28.5	0.3				
TPR_19	PF14559.4	68	S_5sp_contig06840	-	595	1.40E-06	28.5	0.3				
TPR_19	PF14559.4	68	S_5sp_contig06840	-	595	1.40E-06	28.5	0.3				
TPR_12	PF13424.4	77	S_5sp_contig06840	-	595	4.80E-05	23.4	0.6				
TPR_12	PF13424.4	77	S_5sp_contig06840	-	595	4.80E-05	23.4	0.6				
TPR_12	PF13424.4	77	S_5sp_contig06840	-	595	4.80E-05	23.4	0.6				
TPR_16	PF13432.4	68	S_5sp_contig06840	-	595	0.00054	20.5	0.1				
TPR_16	PF13432.4	68	S_5sp_contig06840	-	595	0.00054	20.5	0.1				
TPR_16	PF13432.4	68	S_5sp_contig06840	-	595	0.00054	20.5	0.1				
Peptidase_S64	PF08192.9	697	S_5sp_contig06855_RC	-	155	9.40E-05	21	0.2				
TPMT	PF05724.9	218	S_5sp_contig06925	-	216	6.80E-08	32.3	0				
EHD_N	PF16880.3	33	S_5sp_contig06948	-	218	5.80E-16	58	0.9				
Dynamin_N	PF00350.21	168	S_5sp_contig06948	-	218	1.20E-10	41.6	0				
MMR_HSR1	PF01926.21	114	S_5sp_contig06948	-	218	2.80E-06	27.2	0				
GTP_EFTU	PF00009.25	194	S_5sp_contig06948	-	218	6.40E-05	22.4	0				
RRM_1	PF00076.20	70	S_5sp_contig06985	-	130	0.00011	21.9	0	domain)			
UBA	PF00627.29	37	S_5sp_contig07189	-	124	5.20E-05	22.9	0.2				
Dev_Cell_Death	PF10539.7	127	S_5sp_contig07249	-	207	3.80E-51	172.1	0.1				
RRM_1	PF00076.20	70	S_5sp_contig07435	-	135	6.40E-22	77	0.1	domain)			
RRM_1	PF00076.20	70	S_5sp_contig07435	-	135	6.40E-06	25.8	0	domain)			
RRM_1	PF00076.20	70	S_5sp_contig07437	-	135	7.50E-07	28.7	0.1	domain)			
PABP	PF00658.16	68	S_5sp_contig07445	-	274	6.00E-20	71.1	0.4				
Ribosomal_L1	PF00687.19	205	S_5sp_contig07460	-	163	8.10E-15	55	0.6				
Sulfate_transp	PF00916.18	381	S_5sp_contig07611	-	67	9.90E-11	40.9	0.2				
Sulfate_transp	PF00916.18	381	S_5sp_contig07613	-	319	4.60E-46	157.2	4.8				
STAS	PF01740.19	117	S_5sp_contig07613	-	318	4.40E-29	100.4	0				
Citrate_synt	PF00285.19	362	S_5sp_contig07634	-	112	4.90E-17	61.9	0.1				
Citrate_synt	PF00285.19	362	S_5sp_contig07641	-	43	0.0005	19.1	0				
CRAL_TRIO	PF00650.18	159	S_5sp_contig07679	-	171	5.50E-12	45.6	0				
Pro_isomerase	PF00160.19	159	S_5sp_contig07743	-	461	4.70E-38	130.8	0				
Alpha-L-AF_C	PF06964.10	168	S_5sp_contig07773_RC	-	126	2.60E-06	27.6	0.4				
LRR_8	PF13855.4	61	S_5sp_contig07800	-	173	1.40E-17	63	28.8				
LRR_8	PF13855.4	61	S_5sp_contig07800	-	173	1.40E-17	63	28.8				
LRR_8	PF13855.4	61	S_5sp_contig07800	-	173	1.40E-17	63	28.8				
LRR_4	PF12799.5	43	S_5sp_contig07800	-	173	6.10E-07	29.5	13.1				
LRR_4	PF12799.5	43	S_5sp_contig07800	-	173	6.10E-07	29.5	13.1				
LRR_4	PF12799.5	43	S_5sp_contig07800	-	173	6.10E-07	29.5	13.1				
Pkinase	PF00069.23	264	S_5sp_contig07800	-	173	3.50E-06	26.5	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig07800	-	173	1.10E-05	24.8	0				
LRR_1	PF00560.31	23	S_5sp_contig07800	-	173	0.0001	22.1	9.7				
LRR_1	PF00560.31	23	S_5sp_contig07800	-	173	0.0001	22.1	9.7				
LRR_1	PF00560.31	23	S_5sp_contig07800	-	173	0.0001	22.1	9.7				
LRR_1	PF00560.31	23	S_5sp_contig07800	-	173	0.0001	22.1	9.7				
Abhydrolase_1	PF00561.18	256	S_5sp_contig07818	-	159	2.60E-06	27.1	0				
Esterase	PF00756.18	251	S_5sp_contig07818	-	159	0.00012	21.7	0				
Hydrolase_4	PF12146.6	239	S_5sp_contig07818	-	159	0.00046	19.4	0				
Abhydrolase_6	PF12697.5	212	S_5sp_contig07818	-	159	0.00047	20.7	0				
Paf67	PF10255.7	404	S_5sp_contig07889_RC	-	92	2.60E-29	102.3	4.8				
SAM_decarbox	PF01536.14	355	S_5sp_contig07960_RC	-	433	1.90E-51	175	0				
SAM_decarbox	PF01536.14	355	S_5sp_contig07960_RC	-	433	2.40E-24	85.9	0				
TrkH	PF02386.14	502	S_5sp_contig07978_RC	-	292	3.70E-05	22.3	1				
TrkH	PF02386.14	502	S_5sp_contig07978_RC	-	292	3.70E-05	22.3	1				
AKAP7_NLS	PF10469.7	207	S_5sp_contig08015_RC	-	111	9.00E-19	68	0				
AKAP7_NLS	PF10469.7	207	S_5sp_contig08015_RC	-	111	9.00E-19	68	0				
Pkinase	PF00069.23	264	S_5sp_contig08040	-	138	9.80E-44	149.6	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig08040	-	138	4.80E-30	104.6	0				
Kinase-like	PF14531.4	288	S_5sp_contig08040	-	138	0.00032	20	0				
Pkinase	PF00069.23	264	S_5sp_contig08041	-	217	0.00011	21.6	0				
Pkinase	PF00069.23	264	S_5sp_contig08045	-	112	2.00E-35	122.3	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig08045	-	112	6.80E-24	84.4	0				
Kinase-like	PF14531.4	288	S_5sp_contig08045	-	112	0.00033	19.9	0				
Pkinase	PF00069.23	264	S_5sp_contig08049	-	86	3.60E-18	65.8	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig08049	-	86	2.20E-10	40.1	0				
DUF2301	PF10063.7	135	S_5sp_contig08200_RC	-	77	2.80E-23	82.7	0.1				
DUF393	PF04134.10	113	S_5sp_contig08227	-	236	9.90E-11	42.8	0.1				
DUF393	PF04134.10	113	S_5sp_contig08227	-	236	9.90E-11	42.8	0.1				
DUF3584	PF12128.6	1200	S_5sp_contig08244	-	259	0.00013	19.5	16.1				
polyprenyl_synt	PF00348.15	257	S_5sp_contig08251	-	277	1.60E-23	82.9	0.1				
Snf7	PF03357.19	173	S_5sp_contig08429	-	80	7.10E-19	67.9	6.7				
TPR_1	PF00515.26	34	S_5sp_contig08468_RC	-	96	1.30E-23	81.6	5.2				
TPR_1	PF00515.26	34	S_5sp_contig08468_RC	-	96	1.30E-23	81.6	5.2				
TPR_1	PF00515.26	34	S_5sp_contig08468_RC	-	96	1.30E-23	81.6	5.2				
TPR_2	PF07719.15	34	S_5sp_contig08468_RC	-	96	8.90E-17	59.7	7.4				
TPR_2	PF07719.15	34	S_5sp_contig08468_RC	-	96	8.90E-17	59.7	7.4				
TPR_2	PF07719.15	34	S_5sp_contig08468_RC	-	96	8.90E-17	59.7	7.4				
TPR_11	PF13414.4	42	S_5sp_contig08468_RC	-	96	4.90E-15	54.8	4.9				
TPR_11	PF13414.4	42	S_5sp_contig08468_RC	-	96	4.90E-15	54.8	4.9				
TPR_11	PF13414.4	42	S_5sp_contig08468_RC	-	96	4.90E-15	54.8	4.9				
TPR_8	PF13181.4	34	S_5sp_contig08468_RC	-	96	5.90E-10	38.4	4.4				
TPR_8	PF13181.4	34	S_5sp_contig08468_RC	-	96	5.90E-10	38.4	4.4				
TPR_8	PF13181.4	34	S_5sp_contig08468_RC	-	96	5.90E-10	38.4	4.4				
TPR_9	PF13371.4	73	S_5sp_contig08468_RC	-	96	2.30E-08	33.9	0.8				
TPR_9	PF13371.4	73	S_5sp_contig08468_RC	-	96	2.30E-08	33.9	0.8				
TPR_12	PF13424.4	77	S_5sp_contig08468_RC	-	96	1.70E-07	31.3	5.6				
TPR_12	PF13424.4	77	S_5sp_contig08468_RC	-	96	1.70E-07	31.3	5.6				
TPR_10	PF13374.4	42	S_5sp_contig08468_RC	-	96	8.10E-07	28.6	3				
TPR_10	PF13374.4	42	S_5sp_contig08468_RC	-	96	8.10E-07	28.6	3				
TPR_10	PF13374.4	42	S_5sp_contig08468_RC	-	96	8.10E-07	28.6	3				
TPR_7	PF13176.4	36	S_5sp_contig08468_RC	-	96	2.70E-06	26.9	5				
TPR_7	PF13176.4	36	S_5sp_contig08468_RC	-	96	2.70E-06	26.9	5				
TPR_7	PF13176.4	36	S_5sp_contig08468_RC	-	96	2.70E-06	26.9	5				
TPR_17	PF13431.4	34	S_5sp_contig08468_RC	-	96	5.00E-06	26.4	5.2				
TPR_17	PF13431.4	34	S_5sp_contig08468_RC	-	96	5.00E-06	26.4	5.2				
TPR_17	PF13431.4	34	S_5sp_contig08468_RC	-	96	5.00E-06	26.4	5.2				
TPR_16	PF13432.4	68	S_5sp_contig08468_RC	-	96	5.90E-06	26.7	6.5				
TPR_16	PF13432.4	68	S_5sp_contig08468_RC	-	96	5.90E-06	26.7	6.5				
TPR_19	PF14559.4	68	S_5sp_contig08468_RC	-	96	6.00E-06	26.5	4.4				
TPR_19	PF14559.4	68	S_5sp_contig08468_RC	-	96	6.00E-06	26.5	4.4				
TPR_14	PF13428.4	44	S_5sp_contig08468_RC	-	96	4.60E-05	23.8	5.7				
TPR_14	PF13428.4	44	S_5sp_contig08468_RC	-	96	4.60E-05	23.8	5.7				
TPR_14	PF13428.4	44	S_5sp_contig08468_RC	-	96	4.60E-05	23.8	5.7				
SHNi-TPR	PF10516.7	38	S_5sp_contig08468_RC	-	96	5.20E-05	22.5	1.9				
SHNi-TPR	PF10516.7	38	S_5sp_contig08468_RC	-	96	5.20E-05	22.5	1.9				
SHNi-TPR	PF10516.7	38	S_5sp_contig08468_RC	-	96	5.20E-05	22.5	1.9				
TPR_6	PF13174.4	33	S_5sp_contig08468_RC	-	96	0.00061	20.1	4.6				
TPR_6	PF13174.4	33	S_5sp_contig08468_RC	-	96	0.00061	20.1	4.6				
TPR_6	PF13174.4	33	S_5sp_contig08468_RC	-	96	0.00061	20.1	4.6				
Amidase	PF01425.19	451	S_5sp_contig08469_RC	-	230	0.00068	18.6	0				
zf-XS	PF03470.12	43	S_5sp_contig08495	-	101	1.70E-19	69.6	1.9				
XS	PF03468.12	113	S_5sp_contig08496	-	337	1.40E-41	141.1	0.6				
XS	PF03468.12	113	S_5sp_contig08496	-	337	1.40E-41	141.1	0.6				
XH	PF03469.12	131	S_5sp_contig08498	-	162	2.70E-22	79	1.1				
Aminotran_3	PF00202.19	406	S_5sp_contig08505	-	259	1.60E-18	66.4	0.1				
Aminotran_3	PF00202.19	406	S_5sp_contig08505	-	259	1.60E-18	66.4	0.1				
Aminotran_3	PF00202.19	406	S_5sp_contig08505	-	258	4.00E-16	58.5	0				
Aminotran_3	PF00202.19	406	S_5sp_contig08505	-	258	4.00E-16	58.5	0				
Hexapep	PF00132.22	36	S_5sp_contig08515_RC	-	198	2.00E-10	39.8	10.7				
Hexapep	PF00132.22	36	S_5sp_contig08515_RC	-	198	2.00E-10	39.8	10.7				
Hexapep	PF00132.22	36	S_5sp_contig08515_RC	-	198	2.00E-10	39.8	10.7				
Hexapep	PF00132.22	36	S_5sp_contig08515_RC	-	198	2.00E-10	39.8	10.7				
Hexapep_2	PF14602.4	34	S_5sp_contig08515_RC	-	198	6.60E-05	22.4	1.5				
Hexapep_2	PF14602.4	34	S_5sp_contig08515_RC	-	198	6.60E-05	22.4	1.5				
Hexapep_2	PF14602.4	34	S_5sp_contig08515_RC	-	198	6.60E-05	22.4	1.5				
DUF4954	PF16314.3	655	S_5sp_contig08515_RC	-	198	0.00021	19.5	0.1				
NTP_transferase	PF00483.21	248	S_5sp_contig08521_RC	-	346	1.00E-18	67.7	0				
Hexapep	PF00132.22	36	S_5sp_contig08521_RC	-	346	9.80E-09	34.5	11.9				
Hexapep	PF00132.22	36	S_5sp_contig08521_RC	-	346	9.80E-09	34.5	11.9				
Hexapep	PF00132.22	36	S_5sp_contig08521_RC	-	346	9.80E-09	34.5	11.9				
Hexapep	PF00132.22	36	S_5sp_contig08521_RC	-	346	9.80E-09	34.5	11.9				
DUF4954	PF16314.3	655	S_5sp_contig08521_RC	-	346	0.00069	17.7	0.1				
DUF3755	PF12579.6	34	S_5sp_contig08625	-	230	4.40E-12	45.3	0.5				
DUF3755	PF12579.6	34	S_5sp_contig08625	-	230	4.40E-12	45.3	0.5				
PP2C	PF00481.19	258	S_5sp_contig08694	-	82	3.80E-10	39.7	0				
WD40	PF00400.30	38	S_5sp_contig08734	-	167	3.10E-11	43.5	3.5				
WD40	PF00400.30	38	S_5sp_contig08734	-	167	3.10E-11	43.5	3.5				
WD40	PF00400.30	38	S_5sp_contig08734	-	167	3.10E-11	43.5	3.5				
Pkinase	PF00069.23	264	S_5sp_contig08805	-	235	1.60E-24	86.6	0				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig08805	-	235	2.70E-15	56.2	0				
Pkinase	PF00069.23	264	S_5sp_contig08805	-	235	1.60E-16	60.3	0.3				
Pkinase_Tyr	PF07714.15	260	S_5sp_contig08805	-	235	7.20E-10	38.4	0.3				
NTF2	PF02136.18	120	S_5sp_contig08824	-	190	5.50E-07	30	0.2				
Mpv17_PMP22	PF04117.10	62	S_5sp_contig08875	-	34	4.00E-06	26.8	0.7				
Mpv17_PMP22	PF04117.10	62	S_5sp_contig08880	-	54	2.90E-05	24.1	0.8				
BCAS3	PF12490.6	240	S_5sp_contig08954	-	335	5.10E-62	209.3	2.8				
V-ATPase_H_N	PF03224.12	315	S_5sp_contig08984	-	196	5.80E-34	117.7	0				
TAXi_C	PF14541.4	162	S_5sp_contig09184	-	208	1.20E-05	25	0				
UPF0160	PF03690.11	317	S_5sp_contig09217_RC	-	172	2.20E-13	50.4	0.1				
UPF0160	PF03690.11	317	S_5sp_contig09217_RC	-	172	2.20E-13	50.4	0.1				
UPF0160	PF03690.11	317	S_5sp_contig09217_RC	-	172	6.90E-19	68.5	0				
UPF0160	PF03690.11	317	S_5sp_contig09218_RC	-	124	1.70E-31	109.9	0				
UPF0160	PF03690.11	317	S_5sp_contig09221_RC	-	35	0.00092	18.8	0.2				
Nop10p	PF04135.10	52	S_5sp_contig09308	-	73	8.00E-06	25.7	2.9				
AA_permease_C	PF13906.4	51	S_5sp_contig09344	-	451	1.30E-15	57.1	10.8				
AA_permease_C	PF13906.4	51	S_5sp_contig09344	-	451	1.30E-15	57.1	10.8				
AA_permease_C	PF13906.4	51	S_5sp_contig09344	-	451	1.30E-15	57.1	10.8				
